WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
130.221.224.7 - - [16/Jun/2017 18:47:11] "POST /socket.io/?EIO=3&transport=polling&t=1497638831435-625&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:11] "POST /socket.io/?EIO=3&transport=polling&t=1497638831436-12090&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:14] "POST /socket.io/?EIO=3&transport=polling&t=1497638834287-12092&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:14] "GET /socket.io/?EIO=3&transport=polling&t=1497638831436-12091&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:14] "POST /socket.io/?EIO=3&transport=polling&t=1497638834521-627&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:14] "GET /socket.io/?EIO=3&transport=polling&t=1497638831436-626&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:21] "GET /socket.io/?EIO=3&transport=polling&t=1497638834593-628&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:21] "GET /socket.io/?EIO=3&transport=polling&t=1497638834343-12093&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:21] "POST /socket.io/?EIO=3&transport=polling&t=1497638841418-12094&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:21] "POST /socket.io/?EIO=3&transport=polling&t=1497638841418-629&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:31] "GET /socket.io/?EIO=3&transport=polling&t=1497638841418-12095&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:31] "GET /socket.io/?EIO=3&transport=polling&t=1497638841419-630&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:31] "POST /socket.io/?EIO=3&transport=polling&t=1497638851452-631&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:31] "POST /socket.io/?EIO=3&transport=polling&t=1497638851453-12096&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:40] "POST /socket.io/?EIO=3&transport=polling&t=1497638860283-12098&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:40] "GET /socket.io/?EIO=3&transport=polling&t=1497638851453-12097&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:41] "GET /socket.io/?EIO=3&transport=polling&t=1497638860325-12099&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:41] "GET /socket.io/?EIO=3&transport=polling&t=1497638851452-632&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:41] "POST /socket.io/?EIO=3&transport=polling&t=1497638861474-12100&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
